"TaxonID","SIFS","Scientific.name","Vernacular.name","Family","Introduced","Nb..Obs.","Years..min.","Years..max.","Doubtful....","IUCN.status","WS.Code"
1014520,130700,"Cystopteris fragilis (L.) Bernh.",NA,"Cystopteridaceae",NA,7,1982,2025,NA,"Least concern",NA
1014515,130750,"Cystopteris fragilis aggr.",NA,"Cystopteridaceae",NA,8,1982,2025,NA,"",NA
1014610,131800,"Dactylis glomerata L.",NA,"Poaceae",NA,12,1982,2025,NA,"Least concern",NA
1014760,132600,"Dactylorhiza maculata (L.) Soó",NA,"Orchidaceae",NA,29,2001,2025,NA,"Least concern",NA
1014775,132630,"Dactylorhiza maculata subsp. fuchsii (Druce) Hyl.",NA,"Orchidaceae",NA,17,2010,2025,NA,"Least concern",NA
1014800,132700,"Dactylorhiza majalis (Rchb.) P. F. Hunt & Summerh.",NA,"Orchidaceae",NA,10,1982,2025,NA,"Least concern",NA
1014860,133100,"Danthonia decumbens (L.) DC.",NA,"Poaceae",NA,2,2002,2021,NA,"Least concern",NA
1014910,133700,"Daphne striata Tratt.",NA,"Thymelaeaceae",NA,20,1982,2025,NA,"Least concern",NA
1014950,133900,"Daucus carota L.",NA,"Apiaceae",NA,1,2001,2001,NA,"Least concern",NA
1015040,134800,"Deschampsia cespitosa (L.) P. Beauv.",NA,"Poaceae",NA,17,1982,2025,NA,"Least concern",NA
1015070,135200,"Descurainia sophia (L.) Prantl",NA,"Brassicaceae",NA,2,2013,2013,NA,"Least concern",NA
1015110,135400,"Dianthus barbatus L.",NA,"Caryophyllaceae",NA,1,2014,2014,NA,"",NA
1015120,135500,"Dianthus carthusianorum L.",NA,"Caryophyllaceae",NA,2,1992,2025,NA,"Least concern",NA
1015150,135700,"Dianthus carthusianorum subsp. vaginatus (Chaix) Schinz & R. Keller",NA,"Caryophyllaceae",NA,1,1992,1992,NA,"Least concern",NA
1015170,135900,"Dianthus deltoides L.",NA,"Caryophyllaceae",NA,3,2020,2020,NA,"Vulnerable",NA
1015280,136800,"Dianthus superbus L.",NA,"Caryophyllaceae",NA,16,1982,2025,NA,"Least concern",NA
1015290,136830,"Dianthus superbus L. subsp. superbus",NA,"Caryophyllaceae",NA,1,2016,2016,NA,"Vulnerable",NA
1015300,136860,"Dianthus superbus subsp. alpestris Čelak.",NA,"Caryophyllaceae",NA,1,2025,2025,NA,"Least concern",NA
1015340,137100,"Digitalis grandiflora Mill.",NA,"Plantaginaceae",NA,1,2025,2025,NA,"Least concern",NA
1015420,137800,"Diphasiastrum alpinum (L.) Holub",NA,"Lycopodiaceae",NA,2,1938,2009,NA,"Least concern",NA
1015560,139700,"Doronicum clusii (All.) Tausch",NA,"Asteraceae",NA,13,1938,2025,NA,"Least concern",NA
1015590,140000,"Doronicum grandiflorum Lam.",NA,"Asteraceae",NA,4,1982,2025,NA,"Least concern",NA
1015670,140500,"Draba aizoides L.",NA,"Brassicaceae",NA,6,1994,2025,NA,"Least concern",NA
1015675,140550,"Draba aizoides L. subsp. aizoides",NA,"Brassicaceae",NA,1,2025,2025,NA,"",NA
1015690,140800,"Draba fladnizensis Wulfen",NA,"Brassicaceae",NA,5,1982,2011,NA,"Least concern",NA
1015750,141400,"Draba siliquosa M. Bieb.",NA,"Brassicaceae",NA,4,1938,2011,NA,"Least concern",NA
1015780,141600,"Draba tomentosa Clairv.",NA,"Brassicaceae",NA,3,1982,2011,NA,"Least concern",NA
1015860,142500,"Dryas octopetala L.",NA,"Rosaceae",NA,89,1982,2025,NA,"Least concern",NA
1015910,143100,"Dryopteris carthusiana (Vill.) H. P. Fuchs",NA,"Dryopteridaceae",NA,1,1982,2025,NA,"Least concern",NA
1015930,143300,"Dryopteris dilatata (Hoffm.) A. Gray",NA,"Dryopteridaceae",NA,3,1982,2025,NA,"Least concern",NA
1015925,143350,"Dryopteris dilatata aggr.",NA,"Dryopteridaceae",NA,6,1966,2025,NA,"",NA
1015940,143400,"Dryopteris expansa (C. Presl) Fraser-Jenk. & Jermy",NA,"Dryopteridaceae",NA,2,1966,2025,NA,"Least concern",NA
1015980,143900,"Dryopteris villarii (Bellardi) Schinz & Thell.",NA,"Dryopteridaceae",NA,1,1982,2025,NA,"Least concern",NA
1016120,144500,"Echium vulgare L.",NA,"Boraginaceae",NA,8,2013,2025,NA,"Least concern",NA
1016320,145900,"Eleocharis quinqueflora (Hartmann) O. Schwarz",NA,"Cyperaceae",NA,2,2025,2025,NA,"Least concern",NA
1016400,146460,"Elymus caninus (L.) L.",NA,"Poaceae",NA,2,2013,2015,NA,"Least concern",NA
1016450,146560,"Elymus repens (L.) Gould",NA,"Poaceae",NA,6,2012,2025,NA,"Least concern",NA
1016460,146600,"Elyna myosuroides (Vill.) Fritsch",NA,"Cyperaceae",NA,9,1938,2025,NA,"Least concern",NA
