"TaxonID","SIFS","Scientific.name","Vernacular.name","Family","Introduced","Nb..Obs.","Years..min.","Years..max.","Doubtful....","IUCN.status","WS.Code"
1016950,151100,"Equisetum palustre L.",NA,"Equisetaceae",NA,13,2004,2024,NA,"Least concern",NA
1016980,151400,"Equisetum sylvaticum L.",NA,"Equisetaceae",NA,1,2009,2009,NA,"Least concern",NA
1017000,151600,"Equisetum variegatum Schleich.",NA,"Equisetaceae",NA,4,2020,2024,NA,"Least concern",NA
1017400,152400,"Erica carnea L.",NA,"Ericaceae",NA,7,2004,2024,NA,"Least concern",NA
1017490,153600,"Erigeron alpinus L.",NA,"Asteraceae",NA,4,1982,2024,NA,"Least concern",NA
1017485,153650,"Erigeron alpinus aggr.",NA,"Asteraceae",NA,13,1962,2024,NA,"",NA
1017570,154500,"Erigeron glabratus Bluff & Fingerh.",NA,"Asteraceae",NA,4,1982,2024,NA,"Least concern",NA
1017590,154700,"Erigeron neglectus A. Kern.",NA,"Asteraceae",NA,3,1962,2015,NA,"Least concern",NA
1017610,155000,"Erigeron uniflorus L.",NA,"Asteraceae",NA,2,1982,2022,NA,"Least concern",NA
1017620,155100,"Erinus alpinus L.",NA,"Plantaginaceae",NA,12,1982,2024,NA,"Least concern",NA
1017640,155200,"Eriophorum angustifolium Honck.",NA,"Cyperaceae",NA,16,1980,2025,NA,"Least concern",NA
1017660,155400,"Eriophorum latifolium Hoppe",NA,"Cyperaceae",NA,11,2014,2024,NA,"Least concern",NA
1017670,155500,"Eriophorum scheuchzeri Hoppe",NA,"Cyperaceae",NA,6,1962,2024,NA,"Least concern",NA
1017680,155600,"Eriophorum vaginatum L.",NA,"Cyperaceae",NA,5,1982,2024,NA,"Near threatened",NA
1017840,157200,"Eryngium alpinum L.",NA,"Apiaceae",NA,2,1966,2021,NA,"Vulnerable",NA
1018170,159800,"Euphorbia cyparissias L.",NA,"Euphorbiaceae",NA,5,2020,2024,NA,"Least concern",NA
1018560,162500,"Euphrasia hirtella Reut.",NA,"Orobanchaceae",NA,2,1982,2024,NA,"Least concern",NA
1018600,162750,"Euphrasia minima Schleich.",NA,"Orobanchaceae",NA,12,1958,2024,NA,"Least concern",NA
1018700,163450,"Euphrasia rostkoviana Hayne",NA,"Orobanchaceae",NA,10,2004,2019,NA,"Least concern",NA
1018710,163500,"Euphrasia rostkoviana Hayne subsp. rostkoviana",NA,"Orobanchaceae",NA,1,2019,2019,NA,"Least concern",NA
1018685,163850,"Euphrasia rostkoviana aggr.",NA,"Orobanchaceae",NA,10,2004,2019,NA,"",NA
1018730,163800,"Euphrasia rostkoviana subsp. montana (Jord.) Wettst.",NA,"Orobanchaceae",NA,1,2004,2004,NA,"Least concern",NA
1018740,163900,"Euphrasia salisburgensis Hoppe",NA,"Orobanchaceae",NA,6,2004,2024,NA,"Least concern",NA
1019150,167500,"Festuca guestfalica Boenn.",NA,"Poaceae",NA,1,2020,2020,NA,"Least concern",NA
1019180,167600,"Festuca halleri All.",NA,"Poaceae",NA,0,1982,1982,NA,"Least concern",NA
1019160,167650,"Festuca halleri aggr.",NA,"Poaceae",NA,0,1982,1982,NA,"Least concern",NA
1019240,168150,"Festuca laevigata Gaudin",NA,"Poaceae",NA,0,1982,1982,NA,"",NA
1019290,168300,"Festuca nigrescens Lam.",NA,"Poaceae",NA,1,2020,2020,NA,"Least concern",NA
1019310,168590,"Festuca ovina aggr.",NA,"Poaceae",NA,2,1982,2024,NA,"Least concern",NA
1019309,168580,"Festuca ovina superaggr.",NA,"",NA,3,1982,2024,NA,"",NA
1019380,169100,"Festuca pratensis Huds.",NA,"Poaceae",NA,8,1982,2024,NA,"Least concern",NA
1019420,169600,"Festuca pulchella Schrad.",NA,"Poaceae",NA,6,1982,2024,NA,"Least concern",NA
1019450,170000,"Festuca quadriflora Honck.",NA,"Poaceae",NA,3,1962,2024,NA,"Least concern",NA
1019480,170100,"Festuca rubra L.",NA,"Poaceae",NA,4,2019,2023,NA,"Least concern",NA
1019470,170200,"Festuca rubra aggr.",NA,"Poaceae",NA,24,1958,2024,NA,"Least concern",NA
1019510,170400,"Festuca rupicaprina (Hack.) A. Kern.",NA,"Poaceae",NA,3,1962,2024,NA,"Least concern",NA
1019670,172100,"Festuca violacea aggr.",NA,"Poaceae",NA,3,1982,2024,NA,"Least concern",NA
1019920,173800,"Fragaria vesca L.",NA,"Rosaceae",NA,9,2004,2024,NA,"Least concern",NA
1020160,175620,"Gagea fragifera (Vill.) Ehr. Bayer & G. López",NA,"Liliaceae",NA,8,1967,2023,NA,"Least concern",NA
1020170,175700,"Gagea lutea (L.) Ker Gawl.",NA,"Liliaceae",NA,3,1967,1994,NA,"Near threatened",NA
1020350,177100,"Galeopsis tetrahit L.",NA,"Lamiaceae",NA,8,2004,2025,NA,"Least concern",NA
1020380,177400,"Galium album Mill.",NA,"Rubiaceae",NA,1,2024,2024,NA,"Least concern",NA
1020390,177500,"Galium anisophyllon Vill.",NA,"Rubiaceae",NA,8,2004,2024,NA,"Least concern",NA
1020500,178800,"Galium megalospermum All.",NA,"Rubiaceae",NA,3,1982,2024,NA,"Least concern",NA
1020510,179000,"Galium mollugo aggr.",NA,"Rubiaceae",NA,5,2004,2024,NA,"Least concern",NA
1020600,179700,"Galium pumilum Murray",NA,"Rubiaceae",NA,5,1962,2017,NA,"Least concern",NA
1020595,179650,"Galium pumilum aggr.",NA,"Rubiaceae",NA,13,1962,2024,NA,"",NA
1020710,180700,"Galium uliginosum L.",NA,"Rubiaceae",NA,1,2023,2023,NA,"Least concern",NA
