"","X","predator","q0","q1","q2","chao1","species","site","age","time_min","time_hour","day","month","year.x","beak_colour","color","temperature","clouds","clouds_height","winds","precipitation","fresh_snow","snow_height","cover_snow","elevation","weight","fat","muscle","sex_genetics","timekey","key_m100","capture_day","E1","E1_adj","total_ra","anthropo_ra","failures","ringnr","recapture","year.y","recap_num","nrecapture"
"54",54,"N687481",9,0.584987229437953,0.283562771481849,9,"Montifringilla nivalis","Tiefenbach",5,15,15,17,4,2024,8.5,"black",-6,8,NA,3,"snow",25,NA,97,2102,36.5,3,2,"f","2024-04-17 15:15","2024-04-17 13:35:00","2024-04-17",0.0649985810486614,0.0694831317595,3789465,3535788,253677,687481,"first capture",2024,0,0
"55",55,"N687487",65,1.42617029781241,0.576117079294995,65,"Montifringilla nivalis","Tiefenbach",6,11,11,12,2,2025,4.5,"black",NA,7,3000,1,"no",0,80,90,2102,47,5,2,"m","2025-02-12 11:11","2025-02-12 09:31:00","2025-02-12",0.0219410815048063,0.0268695239635196,3689647,300360,3389287,687487,"first capture",2024,0,1
"56",56,"N687560",4,0.858140478051363,0.537693989006871,4,"Montifringilla nivalis","Tiefenbach",6,47,9,8,1,2025,2,"black",-3.2,8,2100,3,"snow",10,49,100,2102,43,4,2,"m","2025-01-08 09:47","2025-01-08 08:07:00","2025-01-08",0.214535119512841,0.217478056425079,448974,198337,250637,687560,"first capture",2025,0,0
"57",57,"N687567",1,0,0,1,"Montifringilla nivalis","Tiefenbach",NA,43,11,8,1,2025,1.5,"black",-3.2,8,2100,3,"snow",10,49,100,2102,50,5,2,"m","2025-01-08 11:43","2025-01-08 10:03:00","2025-01-08",0,0.00515463917525773,159048,159048,0,687567,"first capture",2025,0,0
"58",58,"N687569",27,0.362105714587293,0.136376369018468,27,"Montifringilla nivalis","Tiefenbach",4,43,11,8,1,2025,2.5,"black",-3.2,8,2100,3,"snow",10,49,100,2102,47,4,2,"f","2025-01-08 11:43","2025-01-08 10:03:00","2025-01-08",0.0134113227624923,0.0184277008783429,3793349,3649902,143447,687569,"first capture",2025,0,1
"59",59,"N687573a",123,1.54130320633049,0.676709914329554,123,"Montifringilla nivalis","Tiefenbach",6,45,9,11,2,2025,4,"black",-3,6,2300,1,"no",0,80,90,2102,44,4,2,"m","2025-02-11 09:45","2025-02-11 08:05:00","2025-02-11",0.0125309203766706,0.0175563748057771,2998132,1486228,1511904,687573,"first capture",2025,0,2
"60",60,"N687580",181,1.99268246142521,0.805188475346222,181,"Montifringilla nivalis","Distelboden",6,5,14,9,1,2025,2,"black",-2,8,2600,3,"snow",1,51,97,1899,42.5,3,2,"m","2025-01-09 14:05","2025-01-09 12:25:00","2025-01-09",0.0110092953669901,0.0160504366518665,4190353,1144288,3046065,687580,"first capture",2025,0,0
"61",61,"N687588",28,0.766857937908944,0.373058037253262,28,"Montifringilla nivalis","Distelboden",5,45,9,13,3,2025,5,"black",NA,8,1900,2,"snow",10,160,100,1899,31.5,3,2,"f","2025-03-13 09:45","2025-03-13 08:05:00","2025-03-13",0.027387783496748,0.0322600743885341,4003788,3271709,732079,687588,"first capture",2025,0,1
"62",62,"N687589",53,0.982652169095807,0.549768678697896,53,"Montifringilla nivalis","Distelboden",4,57,15,9,1,2025,1.5,"black",2,8,2500,4,"snow",1,140,98,1899,45,3,2,"m","2025-01-09 15:57","2025-01-09 14:17:00","2025-01-09",0.0185406069640718,0.0235041058613494,3362470,7031,3355439,687589,"first capture",2025,0,0
"63",63,"N687590",97,1.16534188818386,0.59391487787622,97,"Montifringilla nivalis","Distelboden",6,57,15,9,1,2025,2,"black",2,8,2500,4,"snow",1,140,98,1899,48,4,2,"m","2025-01-09 15:57","2025-01-09 14:17:00","2025-01-09",0.0120138338988027,0.0170446191163408,4274044,2315646,1958398,687590,"first capture",2025,0,0
